Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Scene Description
19_9_2_10_28_4;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_32_39;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_35_10;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_37_13;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_37_49;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_38_31;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_46_57;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_47_29;[1300.0];[3];[5.0];[1000.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_49_55;[1300.0];[3];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_50_54;[8500.0];[4];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_10_53_38;[8500.0];[4];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_12_59_49;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_4_27;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_6_19;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_8_37;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_9_3;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_12_24;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_12_57;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_13_26;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_16_28;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_17_51;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_20_50;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_21_37;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_25_9;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_13_27_34;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_4_38;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_14_9;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_14_35;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_15_25;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_50_54;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_51_49;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_52_17;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_54_43;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_14_55_25;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_15_54_31;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_15_55_10;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_15_56_10;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_15_56_49;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_0_2;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_0_44;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_5_38;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_10_30;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_14_2;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_21_34;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_22_2;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_43_13;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_46_8;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_47_11;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_48_38;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_50_56;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_51_32;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_55_28;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_56_36;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_2_16_57_10;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_31_46;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_37_21;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_41_46;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_45_14;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_45_45;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_49_44;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_52_21;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_53_21;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_56_1;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_57_57;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_9_59_50;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_1_30;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_31_31;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_32_10;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_34_6;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_34_45;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_36_24;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_36_49;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_37_31;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_40_34;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_41_1;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_43_27;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_46_39;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_47_26;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_49_40;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_50_55;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_51_30;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_53_55;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_54_22;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_10_55_39;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_11_8_13;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_11_25_14;[1300.0];[1];[5.0];[1001.0];10000;No Notes. Change in text file if necessary.
19_9_3_11_40_39;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_41_5;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_41_55;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_42_16;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_42_46;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_43_27;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_44_33;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
19_9_3_11_45_2;[1300.0];[1];[5.0];[1001.0];1000;No Notes. Change in text file if necessary.
