Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Scene Description
19_8_25_18_28_15;1300.0;3;5.0;1001.0;5000;the first on here is this very
19_8_25_20_45_16;1300.0;3;5.0;1001.0;5000;No Notes. Change in text file if necessary.
19_8_25_21_46_28;[1300.0, 8500.0, 1350.0];[3, 3, 5];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_25_21_50_3;[1300.0, 8500.0];[3, 3];[5.0, 5.0];[1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_25_22_7_18;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_10_28_38;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;adwadawd
19_8_26_10_28_51;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_10_29_27;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_10_31_4;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_10_32_37;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;dawda
19_8_26_10_35_53;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_10_47_28;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;dawdada
19_8_26_10_50_32;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_10_59_25;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_26_11_1_26;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_12_13_13;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_19_35_4;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_19_46_1;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_19_51_11;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_19_51_26;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_19_51_41;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_20_0_16;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_20_2_3;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_20_2_55;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_27_21_22_39;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_10_19_40;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_10_42_2;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_10_51_47;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_10_53_54;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_10_56_5;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_10_56_58;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_24_19;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_25_5;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_25_58;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_38_32;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_39_32;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_40_30;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_41_4;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_41_23;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_42_53;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_43_55;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_46_41;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_11_48_48;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_12_12_25;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_12_15_22;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_12_17_25;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_12_22_28;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_12_24_13;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
19_8_28_12_25_24;[1300.0, 8500.0, 8500.0];[3, 3, 3];[5.0, 5.0, 5.0];[1001.0, 1001.0, 1001.0];5000;No Notes. Change in text file if necessary.
